time,value,label
0,2.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,-1.0,0
5,-1.0,0
6,-1.0,0
7,-2.0,0
8,-2.0,0
9,-2.0,0
10,-2.0,0
11,-2.0,0
12,-2.0,0
13,-2.0,0
14,-2.0,0
15,-3.0,0
16,-3.0,0
17,-3.0,0
18,-3.0,0
19,-5.0,0
20,-5.0,0
21,-4.0,0
22,-4.0,0
23,-4.0,0
24,-4.0,0
25,-4.0,0
26,-4.0,0
27,-5.0,0
28,-7.0,0
29,-8.0,0
30,-8.0,0
31,-8.0,0
32,-8.0,0
33,-8.0,0
34,-7.0,0
35,-7.0,0
36,-9.0,0
37,-11.0,0
38,-9.0,0
39,-7.0,0
40,-8.0,0
41,-9.0,0
42,-10.0,0
43,-10.0,0
44,-10.0,0
45,-10.0,0
46,-10.0,0
47,-10.0,0
48,-10.0,0
49,-10.0,0
50,-11.0,0
51,-12.0,0
52,-12.0,0
53,-12.0,0
54,-12.0,0
55,-11.0,0
56,-11.0,0
57,-11.0,0
58,-12.0,0
59,-13.0,0
60,-13.0,0
61,-13.0,0
62,-13.0,0
63,-13.0,0
64,-13.0,0
65,-14.0,0
66,-14.0,0
67,-14.0,0
68,-14.0,0
69,-13.0,0
70,-13.0,0
71,-12.0,0
72,-12.0,0
73,-12.0,0
74,-13.0,0
75,-14.0,0
76,-14.0,0
77,-10.0,0
78,-6.0,0
79,-4.0,0
80,-2.0,0
81,-1.0,0
82,0.0,0
83,0.0,0
84,2.0,0
85,4.0,0
86,7.0,0
87,7.0,0
88,8.0,0
89,9.0,0
90,10.0,0
91,6.0,0
92,3.0,0
93,0.0,0
94,-3.0,0
95,-7.0,0
96,-11.0,0
97,-14.0,0
98,-16.0,0
99,-19.0,0
100,-20.0,0
101,-17.0,0
102,-16.0,0
103,-17.0,0
104,-17.0,0
105,-15.0,0
106,-16.0,0
107,-20.0,0
108,-29.0,0
109,-42.0,0
110,-46.0,0
111,-44.0,0
112,-8.0,0
113,44.0,0
114,115.0,0
115,193.0,0
116,224.0,0
117,241.0,0
118,214.0,0
119,176.0,0
120,153.0,0
121,133.0,0
122,118.0,0
123,102.0,0
124,74.0,0
125,45.0,0
126,24.0,0
127,3.0,0
128,-5.0,0
129,-14.0,0
130,-18.0,0
131,-22.0,0
132,-26.0,0
133,-29.0,0
134,-29.0,0
135,-29.0,0
136,-30.0,0
137,-31.0,0
138,-32.0,0
139,-34.0,0
140,-34.0,0
141,-35.0,0
142,-35.0,0
143,-35.0,0
144,-36.0,0
145,-37.0,0
146,-37.0,0
147,-36.0,0
148,-35.0,0
149,-35.0,0
150,-36.0,0
151,-37.0,0
152,-37.0,0
153,-38.0,0
154,-38.0,0
155,-38.0,0
156,-37.0,0
157,-37.0,0
158,-37.0,0
159,-35.0,0
160,-33.0,0
161,-34.0,0
162,-36.0,0
163,-34.0,0
164,-32.0,0
165,-31.0,0
166,-31.0,0
167,-31.0,0
168,-30.0,0
169,-29.0,0
170,-27.0,0
171,-24.0,0
172,-21.0,0
173,-21.0,0
174,-20.0,0
175,-19.0,0
176,-18.0,0
177,-17.0,0
178,-15.0,0
179,-13.0,0
180,-11.0,0
181,-8.0,0
182,-6.0,0
183,-4.0,0
184,-3.0,0
185,-1.0,0
186,0.0,0
187,2.0,0
188,4.0,0
189,4.0,0
190,5.0,0
191,6.0,0
192,7.0,0
193,9.0,0
194,11.0,0
195,13.0,0
196,14.0,0
197,14.0,0
198,12.0,0
199,11.0,0
200,10.0,0
201,9.0,0
202,8.0,0
203,8.0,0
204,5.0,0
205,3.0,0
206,2.0,0
207,2.0,0
208,0.0,0
209,-3.0,0
210,-2.0,0
211,-2.0,0
212,-4.0,0
213,-6.0,0
214,-6.0,0
215,-6.0,0
216,-9.0,0
217,-11.0,0
218,-8.0,0
219,-6.0,0
220,-8.0,0
221,-10.0,0
222,-10.0,0
223,-10.0,0
224,-11.0,0
225,-11.0,0
226,-11.0,0
227,-11.0,0
228,-13.0,0
229,-13.0,0
230,-13.0,0
231,-13.0,0
232,-13.0,0
233,-13.0,0
234,-13.0,0
235,-13.0,0
236,-14.0,0
237,-15.0,0
238,-15.0,0
239,-15.0,0
240,-16.0,0
241,-16.0,0
242,-16.0,0
243,-15.0,0
244,-14.0,0
245,-14.0,0
246,-15.0,0
247,-16.0,0
248,-17.0,0
249,-18.0,0
250,-18.0,0
251,-18.0,0
252,-19.0,0
253,-19.0,0
254,-19.0,0
255,-18.0,0
256,-18.0,0
257,-18.0,0
258,-18.0,0
259,-18.0,0
260,-18.0,0
261,-19.0,0
262,-20.0,0
263,-20.0,0
264,-20.0,0
265,-20.0,0
266,-19.0,0
267,-17.0,0
268,-17.0,0
269,-18.0,0
270,-19.0,0
271,-19.0,0
272,-19.0,0
273,-19.0,0
274,-18.0,0
275,-17.0,0
276,-18.0,0
277,-20.0,0
278,-21.0,0
279,-21.0,0
280,-19.0,0
281,-18.0,0
282,-19.0,0
283,-20.0,0
284,-19.0,0
285,-18.0,0
286,-19.0,0
287,-20.0,0
288,-20.0,0
289,-20.0,0
290,-20.0,0
291,-20.0,0
292,-19.0,0
293,-18.0,0
294,-20.0,0
295,-21.0,0
296,-20.0,0
297,-19.0,0
298,-19.0,0
299,-19.0,0
300,-19.0,0
301,-19.0,0
302,-18.0,0
303,-17.0,0
304,-14.0,0
305,-12.0,0
306,-10.0,0
307,-8.0,0
308,-5.0,0
309,-3.0,0
310,-1.0,0
311,0.0,0
312,0.0,0
313,1.0,0
314,3.0,0
315,5.0,0
316,7.0,0
317,7.0,0
318,6.0,0
319,5.0,0
320,3.0,0
321,0.0,0
322,-3.0,0
323,-7.0,0
324,-11.0,0
325,-15.0,0
326,-17.0,0
327,-17.0,0
328,-16.0,0
329,-15.0,0
330,-15.0,0
331,-15.0,0
332,-16.0,0
333,-13.0,0
334,-10.0,0
335,-15.0,0
336,-20.0,0
337,-33.0,0
338,-45.0,0
339,-52.0,0
340,-48.0,0
341,17.0,0
342,88.0,0
343,173.0,0
344,238.0,0
345,244.0,0
346,233.0,0
347,181.0,0
348,144.0,0
349,135.0,0
350,125.0,0
351,111.0,0
352,90.0,0
353,61.0,0
354,36.0,0
355,15.0,0
356,1.0,0
357,-5.0,0
358,-10.0,0
359,-13.0,0
360,-15.0,0
361,-18.0,0
362,-20.0,0
363,-21.0,0
364,-23.0,0
365,-24.0,0
366,-25.0,0
367,-25.0,0
368,-25.0,0
369,-26.0,0
370,-27.0,0
371,-27.0,0
372,-27.0,0
373,-27.0,0
374,-27.0,0
375,-29.0,0
376,-28.0,0
377,-27.0,0
378,-26.0,0
379,-26.0,0
380,-27.0,0
381,-27.0,0
382,-27.0,0
383,-27.0,0
384,-27.0,0
385,-28.0,0
386,-28.0,0
387,-27.0,0
388,-27.0,0
389,-26.0,0
390,-24.0,0
391,-24.0,0
392,-24.0,0
393,-23.0,0
394,-22.0,0
395,-21.0,0
396,-19.0,0
397,-18.0,0
398,-16.0,0
399,-15.0,0
400,-15.0,0
401,-13.0,0
402,-10.0,0
403,-10.0,0
404,-10.0,0
405,-7.0,0
406,-3.0,0
407,-1.0,0
408,0.0,0
409,1.0,0
410,3.0,0
411,3.0,0
412,2.0,0
413,5.0,0
414,9.0,0
415,11.0,0
416,13.0,0
417,15.0,0
418,17.0,0
419,18.0,0
420,20.0,0
421,22.0,0
422,24.0,0
423,24.0,0
424,25.0,0
425,25.0,0
426,25.0,0
427,26.0,0
428,26.0,0
429,24.0,0
430,22.0,0
431,20.0,0
432,19.0,0
433,17.0,0
434,16.0,0
435,14.0,0
436,13.0,0
437,13.0,0
438,12.0,0
439,12.0,0
440,11.0,0
441,9.0,0
442,8.0,0
443,6.0,0
444,6.0,0
445,6.0,0
446,6.0,0
447,6.0,0
448,4.0,0
449,1.0,0
450,2.0,0
451,3.0,0
452,4.0,0
453,5.0,0
454,5.0,0
455,4.0,0
456,3.0,0
457,2.0,0
458,2.0,0
459,4.0,0
460,4.0,0
461,4.0,0
462,4.0,0
463,4.0,0
464,4.0,0
465,4.0,0
466,2.0,0
467,0.0,0
468,2.0,0
469,4.0,0
470,4.0,0
471,3.0,0
472,3.0,0
473,2.0,0
474,0.0,0
475,1.0,0
476,4.0,0
477,5.0,0
478,3.0,0
479,3.0,0
480,3.0,0
481,3.0,0
482,2.0,0
483,2.0,0
484,3.0,0
485,4.0,0
486,4.0,0
487,4.0,0
488,4.0,0
489,4.0,0
490,4.0,0
491,4.0,0
492,4.0,0
493,4.0,0
494,4.0,0
495,3.0,0
496,3.0,0
497,2.0,0
498,2.0,0
499,3.0,0
500,5.0,0
501,4.0,0
502,4.0,0
503,4.0,0
504,3.0,0
505,3.0,0
506,3.0,0
507,3.0,0
508,3.0,0
509,3.0,0
510,3.0,0
511,3.0,0
512,4.0,0
513,4.0,0
514,4.0,0
515,4.0,0
516,4.0,0
517,4.0,0
518,3.0,0
519,2.0,0
520,1.0,0
521,0.0,0
522,0.0,0
523,2.0,0
524,4.0,0
525,7.0,0
526,7.0,0
527,7.0,0
528,7.0,0
529,7.0,0
530,11.0,0
531,16.0,0
532,19.0,0
533,21.0,0
534,22.0,0
535,22.0,0
536,23.0,0
537,24.0,0
538,27.0,0
539,30.0,0
540,29.0,0
541,27.0,0
542,24.0,0
543,22.0,0
544,17.0,0
545,11.0,0
546,8.0,0
547,5.0,0
548,4.0,0
549,3.0,0
550,2.0,0
551,2.0,0
552,2.0,0
553,2.0,0
554,2.0,0
555,2.0,0
556,4.0,0
557,2.0,0
558,-3.0,0
559,-12.0,0
560,-25.0,0
561,-28.0,0
562,-17.0,0
563,20.0,0
564,84.0,0
565,153.0,0
566,226.0,0
567,253.0,0
568,249.0,0
569,224.0,0
570,188.0,0
571,166.0,0
572,150.0,0
573,129.0,0
574,106.0,0
575,77.0,0
576,47.0,0
577,29.0,0
578,14.0,0
579,8.0,0
580,2.0,0
581,-1.0,0
582,-5.0,0
583,-9.0,0
584,-12.0,0
585,-11.0,0
586,-11.0,0
587,-13.0,0
588,-16.0,0
589,-16.0,0
590,-17.0,0
591,-19.0,0
592,-20.0,0
593,-19.0,0
594,-18.0,0
595,-21.0,0
596,-22.0,0
597,-19.0,0
598,-19.0,0
599,-22.0,0
600,-23.0,0
601,-21.0,0
602,-20.0,0
603,-22.0,0
604,-23.0,0
605,-23.0,0
606,-23.0,0
607,-25.0,0
608,-25.0,0
609,-23.0,0
610,-22.0,0
611,-20.0,0
612,-20.0,0
613,-21.0,0
614,-21.0,0
615,-20.0,0
616,-19.0,0
617,-19.0,0
618,-18.0,0
619,-17.0,0
620,-16.0,0
621,-15.0,0
622,-13.0,0
623,-11.0,0
624,-10.0,0
625,-9.0,0
626,-7.0,0
627,-5.0,0
628,-5.0,0
629,-4.0,0
630,-3.0,0
631,-1.0,0
632,0.0,0
633,2.0,0
634,5.0,0
635,8.0,0
636,9.0,0
637,10.0,0
638,11.0,0
639,13.0,0
640,15.0,0
641,16.0,0
642,17.0,0
643,18.0,0
644,20.0,0
645,21.0,0
646,23.0,0
