time,value,label
0,2.0,0
1,3.0,0
2,4.0,0
3,2.0,0
4,1.0,0
5,3.0,0
6,4.0,0
7,4.0,0
8,4.0,0
9,4.0,0
10,4.0,0
11,3.0,0
12,2.0,0
13,2.0,0
14,1.0,0
15,0.0,0
16,0.0,0
17,3.0,0
18,4.0,0
19,1.0,0
20,0.0,0
21,1.0,0
22,1.0,0
23,0.0,0
24,-1.0,0
25,-1.0,0
26,-2.0,0
27,-4.0,0
28,-1.0,0
29,2.0,0
30,1.0,0
31,-1.0,0
32,-1.0,0
33,0.0,0
34,0.0,0
35,-1.0,0
36,-3.0,0
37,-4.0,0
38,-5.0,0
39,-5.0,0
40,-3.0,0
41,-1.0,0
42,-3.0,0
43,-4.0,0
44,-4.0,0
45,-4.0,0
46,-4.0,0
47,-4.0,0
48,-5.0,0
49,-5.0,0
50,-5.0,0
51,-4.0,0
52,-3.0,0
53,-2.0,0
54,-3.0,0
55,-5.0,0
56,-5.0,0
57,-5.0,0
58,-5.0,0
59,-4.0,0
60,-4.0,0
61,-3.0,0
62,-2.0,0
63,-2.0,0
64,-3.0,0
65,-4.0,0
66,-4.0,0
67,-3.0,0
68,-1.0,0
69,0.0,0
70,3.0,0
71,7.0,0
72,11.0,0
73,14.0,0
74,16.0,0
75,18.0,0
76,19.0,0
77,20.0,0
78,20.0,0
79,26.0,0
80,33.0,0
81,29.0,0
82,24.0,0
83,18.0,0
84,12.0,0
85,8.0,0
86,4.0,0
87,4.0,0
88,3.0,0
89,2.0,0
90,1.0,0
91,1.0,0
92,0.0,0
93,-4.0,0
94,-7.0,0
95,-6.0,0
96,-5.0,0
97,-4.0,0
98,-4.0,0
99,-6.0,0
100,-8.0,0
101,-8.0,0
102,-8.0,0
103,-8.0,0
104,-9.0,0
105,-9.0,0
106,-2.0,0
107,11.0,0
108,39.0,0
109,78.0,0
110,88.0,0
111,80.0,0
112,34.0,0
113,-30.0,0
114,-97.0,0
115,-166.0,0
116,-231.0,0
117,-295.0,0
118,-314.0,0
119,-322.0,0
120,-269.0,0
121,-206.0,0
122,-149.0,0
123,-92.0,0
124,-66.0,0
125,-42.0,0
126,-34.0,0
127,-26.0,0
128,-25.0,0
129,-23.0,0
130,-15.0,0
131,-9.0,0
132,-10.0,0
133,-11.0,0
134,-9.0,0
135,-8.0,0
136,-9.0,0
137,-9.0,0
138,-7.0,0
139,-7.0,0
140,-12.0,0
141,-12.0,0
142,-7.0,0
143,-4.0,0
144,-4.0,0
145,-3.0,0
146,-2.0,0
147,-2.0,0
148,-4.0,0
149,-3.0,0
150,-1.0,0
151,-1.0,0
152,-3.0,0
153,0.0,0
154,3.0,0
155,5.0,0
156,5.0,0
157,5.0,0
158,4.0,0
159,6.0,0
160,9.0,0
161,12.0,0
162,14.0,0
163,15.0,0
164,15.0,0
165,18.0,0
166,20.0,0
167,24.0,0
168,28.0,0
169,30.0,0
170,32.0,0
171,36.0,0
172,41.0,0
173,43.0,0
174,46.0,0
175,47.0,0
176,49.0,0
177,53.0,0
178,57.0,0
179,60.0,0
180,63.0,0
181,63.0,0
182,64.0,0
183,64.0,0
184,65.0,0
185,67.0,0
186,68.0,0
187,66.0,0
188,65.0,0
189,66.0,0
190,65.0,0
191,61.0,0
192,57.0,0
193,54.0,0
194,49.0,0
195,44.0,0
196,40.0,0
197,36.0,0
198,33.0,0
199,30.0,0
200,27.0,0
201,23.0,0
202,23.0,0
203,23.0,0
204,20.0,0
205,16.0,0
206,16.0,0
207,16.0,0
208,13.0,0
209,9.0,0
210,11.0,0
211,12.0,0
212,9.0,0
213,6.0,0
214,11.0,0
215,15.0,0
216,11.0,0
217,8.0,0
218,10.0,0
219,11.0,0
220,9.0,0
221,8.0,0
222,8.0,0
223,8.0,0
224,6.0,0
225,7.0,0
226,10.0,0
227,12.0,0
228,10.0,0
229,10.0,0
230,10.0,0
231,9.0,0
232,9.0,0
233,9.0,0
234,9.0,0
235,9.0,0
236,9.0,0
237,9.0,0
238,9.0,0
239,11.0,0
240,14.0,0
241,13.0,0
242,10.0,0
243,10.0,0
244,10.0,0
245,10.0,0
246,10.0,0
247,8.0,0
248,6.0,0
249,7.0,0
250,9.0,0
251,8.0,0
252,7.0,0
253,6.0,0
254,6.0,0
255,6.0,0
256,5.0,0
257,4.0,0
258,4.0,0
259,4.0,0
260,3.0,0
261,2.0,0
262,2.0,0
263,3.0,0
264,4.0,0
265,2.0,0
266,2.0,0
267,4.0,0
268,4.0,0
269,2.0,0
270,2.0,0
271,3.0,0
272,2.0,0
273,0.0,0
274,1.0,0
275,4.0,0
276,4.0,0
277,1.0,0
278,1.0,0
279,1.0,0
280,0.0,0
281,0.0,0
282,0.0,0
283,0.0,0
284,-1.0,0
285,-3.0,0
286,-1.0,0
287,1.0,0
288,1.0,0
289,1.0,0
290,0.0,0
291,0.0,0
292,0.0,0
293,0.0,0
294,0.0,0
295,0.0,0
296,1.0,0
297,2.0,0
298,6.0,0
299,10.0,0
300,17.0,0
301,23.0,0
302,23.0,0
303,23.0,0
304,23.0,0
305,24.0,0
306,26.0,0
307,29.0,0
308,32.0,0
309,33.0,0
310,29.0,0
311,25.0,0
312,21.0,0
313,16.0,0
314,12.0,0
315,9.0,0
316,9.0,0
317,8.0,0
318,6.0,0
319,5.0,0
320,5.0,0
321,2.0,0
322,-1.0,0
323,-1.0,0
324,0.0,0
325,-1.0,0
326,-3.0,0
327,-2.0,0
328,0.0,0
329,-2.0,0
330,-4.0,0
331,-5.0,0
332,-5.0,0
333,-6.0,0
334,-7.0,0
335,6.0,0
336,23.0,0
337,72.0,0
338,114.0,0
339,97.0,0
340,71.0,0
341,-8.0,0
342,-84.0,0
343,-144.0,0
344,-205.0,0
345,-268.0,0
346,-316.0,0
347,-330.0,0
348,-312.0,0
349,-233.0,0
350,-165.0,0
351,-111.0,0
352,-71.0,0
353,-47.0,0
354,-32.0,0
355,-26.0,0
356,-22.0,0
357,-18.0,0
358,-16.0,0
359,-15.0,0
360,-12.0,0
361,-9.0,0
362,-6.0,0
363,-4.0,0
364,-4.0,0
365,-4.0,0
366,-3.0,0
367,-2.0,0
368,-2.0,0
369,-3.0,0
370,-4.0,0
371,-4.0,0
372,-5.0,0
373,-5.0,0
374,-3.0,0
375,-1.0,0
376,-1.0,0
377,0.0,0
378,0.0,0
379,0.0,0
380,0.0,0
381,0.0,0
382,1.0,0
383,2.0,0
384,2.0,0
385,2.0,0
386,6.0,0
387,8.0,0
388,8.0,0
389,8.0,0
390,11.0,0
391,13.0,0
392,15.0,0
393,17.0,0
394,19.0,0
395,21.0,0
396,22.0,0
397,26.0,0
398,34.0,0
399,38.0,0
400,38.0,0
401,41.0,0
402,45.0,0
403,47.0,0
404,48.0,0
405,52.0,0
406,56.0,0
407,57.0,0
408,56.0,0
409,59.0,0
410,64.0,0
411,66.0,0
412,67.0,0
413,66.0,0
414,64.0,0
415,63.0,0
416,63.0,0
417,59.0,0
418,56.0,0
419,54.0,0
420,52.0,0
421,49.0,0
422,45.0,0
423,45.0,0
424,43.0,0
425,36.0,0
426,30.0,0
427,27.0,0
428,25.0,0
429,22.0,0
430,19.0,0
431,16.0,0
432,14.0,0
433,12.0,0
434,11.0,0
435,10.0,0
436,9.0,0
437,8.0,0
438,8.0,0
439,8.0,0
440,6.0,0
441,4.0,0
442,4.0,0
443,4.0,0
444,3.0,0
445,2.0,0
446,3.0,0
447,4.0,0
448,3.0,0
449,2.0,0
450,2.0,0
451,3.0,0
452,3.0,0
453,2.0,0
454,3.0,0
455,4.0,0
456,1.0,0
457,-1.0,0
458,2.0,0
459,7.0,0
460,4.0,0
461,1.0,0
462,2.0,0
463,3.0,0
464,2.0,0
465,1.0,0
466,1.0,0
467,0.0,0
468,0.0,0
469,-1.0,0
470,0.0,0
471,2.0,0
472,3.0,0
473,3.0,0
474,0.0,0
475,0.0,0
476,0.0,0
477,0.0,0
478,-1.0,0
479,-2.0,0
480,-3.0,0
481,-4.0,0
482,-4.0,0
483,-3.0,0
484,-1.0,0
485,-2.0,0
486,-5.0,0
487,-5.0,0
488,-5.0,0
489,-5.0,0
490,-5.0,0
491,-5.0,0
492,-5.0,0
493,-5.0,0
494,-5.0,0
495,-3.0,0
496,-2.0,0
497,-3.0,0
498,-5.0,0
499,-6.0,0
500,-6.0,0
501,-7.0,0
502,-8.0,0
503,-8.0,0
504,-9.0,0
505,-9.0,0
506,-8.0,0
507,-6.0,0
508,-5.0,0
509,-5.0,0
510,-6.0,0
511,-7.0,0
512,-8.0,0
513,-8.0,0
514,-7.0,0
515,-6.0,0
516,-6.0,0
517,-7.0,0
518,-6.0,0
519,-2.0,0
