time,value,label
0,-198.27273,0
1,-195.5,0
2,-191.84615,0
3,-187.71429,0
4,-183.73333,0
5,-179.8125,0
6,-175.47059,0
7,-170.94444,0
8,-166.78947,0
9,-162.85,0
10,-158.7619,0
11,-151.52381,0
12,-144.71429,0
13,-137.57143,0
14,-130.09524,0
15,-122.7619,0
16,-116.04762,0
17,-109.19048,0
18,-102.38095,0
19,-96.047619,0
20,-90.285714,0
21,-84.761905,0
22,-79.047619,0
23,-73.904762,0
24,-69.571429,0
25,-65.666667,0
26,-61.904762,0
27,-58.571429,0
28,-55.952381,0
29,-53.666667,0
30,-51.52381,0
31,-49.714286,0
32,-48.428571,0
33,-46.952381,0
34,-45.47619,0
35,-44.333333,0
36,-43.761905,0
37,-43.380952,0
38,-42.904762,0
39,-42.619048,0
40,-42.571429,0
41,-42.761905,0
42,-42.714286,0
43,-42.952381,0
44,-43.809524,0
45,-44.761905,0
46,-45.380952,0
47,-46.047619,0
48,-47.47619,0
49,-49.047619,0
50,-50.285714,0
51,-51.47619,0
52,-53.047619,0
53,-54.761905,0
54,-56.47619,0
55,-58.0,0
56,-59.714286,0
57,-61.333333,0
58,-62.52381,0
59,-63.714286,0
60,-65.095238,0
61,-66.47619,0
62,-67.380952,0
63,-68.190476,0
64,-69.333333,0
65,-70.095238,0
66,-70.333333,0
67,-70.666667,0
68,-71.238095,0
69,-71.333333,0
70,-70.761905,0
71,-70.285714,0
72,-70.047619,0
73,-69.619048,0
74,-68.761905,0
75,-68.095238,0
76,-67.857143,0
77,-67.571429,0
78,-66.952381,0
79,-66.333333,0
80,-66.095238,0
81,-65.761905,0
82,-65.047619,0
83,-64.52381,0
84,-64.380952,0
85,-63.809524,0
86,-63.0,0
87,-62.52381,0
88,-62.333333,0
89,-62.0,0
90,-61.380952,0
91,-61.238095,0
92,-61.190476,0
93,-61.047619,0
94,-60.666667,0
95,-60.428571,0
96,-60.380952,0
97,-60.190476,0
98,-59.714286,0
99,-59.428571,0
100,-59.47619,0
101,-59.095238,0
102,-58.238095,0
103,-57.761905,0
104,-57.571429,0
105,-57.238095,0
106,-56.714286,0
107,-56.380952,0
108,-56.095238,0
109,-55.666667,0
110,-55.047619,0
111,-54.619048,0
112,-54.333333,0
113,-54.047619,0
114,-53.428571,0
115,-52.809524,0
116,-52.571429,0
117,-52.0,0
118,-51.095238,0
119,-50.428571,0
120,-49.904762,0
121,-49.142857,0
122,-48.047619,0
123,-47.571429,0
124,-47.238095,0
125,-46.714286,0
126,-45.952381,0
127,-45.333333,0
128,-44.952381,0
129,-44.428571,0
130,-43.666667,0
131,-43.0,0
132,-42.761905,0
133,-42.285714,0
134,-41.380952,0
135,-40.714286,0
136,-40.47619,0
137,-39.809524,0
138,-38.857143,0
139,-38.238095,0
140,-37.761905,0
141,-37.047619,0
142,-36.095238,0
143,-35.285714,0
144,-33.952381,0
145,-31.952381,0
146,-29.47619,0
147,-27.0,0
148,-24.666667,0
149,-22.047619,0
150,-19.047619,0
151,-15.952381,0
152,-13.285714,0
153,-10.380952,0
154,-7.4761905,0
155,-5.1904762,0
156,-3.1428571,0
157,-0.71428571,0
158,2.1428571,0
159,4.7142857,0
160,7.0952381,0
161,9.5238095,0
162,11.952381,0
163,13.714286,0
164,14.571429,0
165,14.952381,0
166,15.047619,0
167,14.52381,0
168,13.285714,0
169,12.190476,0
170,11.571429,0
171,10.714286,0
172,9.3333333,0
173,8.4285714,0
174,8.1904762,0
175,7.952381,0
176,7.8095238,0
177,7.9047619,0
178,8.1904762,0
179,8.047619,0
180,7.6666667,0
181,7.7619048,0
182,8.3809524,0
183,9.1428571,0
184,10.285714,0
185,12.619048,0
186,15.904762,0
187,19.47619,0
188,23.857143,0
189,30.333333,0
190,40.047619,0
191,53.047619,0
192,71.238095,0
193,94.190476,0
194,121.0,0
195,150.04762,0
196,182.95238,0
197,220.42857,0
198,260.85714,0
199,302.71429,0
200,342.85714,0
201,378.42857,0
202,403.52381,0
203,416.57143,0
204,421.95238,0
205,423.66667,0
206,423.09524,0
207,420.7619,0
208,417.04762,0
209,411.66667,0
210,404.0,0
211,392.71429,0
212,377.38095,0
213,356.71429,0
214,331.66667,0
215,302.80952,0
216,271.09524,0
217,235.80952,0
218,196.52381,0
219,154.09524,0
220,109.71429,0
221,66.761905,0
222,28.619048,0
223,0.57142857,0
224,-16.190476,0
225,-25.666667,0
226,-31.47619,0
227,-35.857143,0
228,-39.809524,0
229,-43.095238,0
230,-45.333333,0
231,-47.142857,0
232,-49.190476,0
233,-51.380952,0
234,-53.52381,0
235,-56.0,0
236,-59.238095,0
237,-62.666667,0
238,-66.190476,0
239,-70.190476,0
240,-74.285714,0
241,-78.333333,0
242,-82.0,0
243,-85.857143,0
244,-89.809524,0
245,-93.571429,0
246,-96.952381,0
247,-100.28571,0
248,-103.7619,0
249,-106.66667,0
250,-109.19048,0
251,-111.7619,0
252,-114.33333,0
253,-116.47619,0
254,-118.04762,0
255,-119.57143,0
256,-120.90476,0
257,-121.71429,0
258,-121.85714,0
259,-121.85714,0
260,-121.80952,0
261,-121.28571,0
262,-120.2381,0
263,-119.09524,0
264,-117.52381,0
265,-115.14286,0
266,-112.04762,0
267,-108.66667,0
268,-105.14286,0
269,-100.71429,0
270,-95.666667,0
271,-90.238095,0
272,-84.428571,0
273,-78.142857,0
274,-71.238095,0
275,-64.428571,0
276,-57.904762,0
277,-51.333333,0
