time,value,label
0,-63.0,0
1,-89.0,0
2,-27.0,0
3,-19.0,0
4,-19.0,0
5,-19.0,0
6,-19.0,0
7,-19.0,0
8,-19.0,0
9,-19.0,0
10,-18.0,0
11,-17.0,0
12,-18.0,0
13,-19.0,0
14,-18.0,0
15,-17.0,0
16,-16.0,0
17,-15.0,0
18,-14.0,0
19,-13.0,0
20,-13.0,0
21,-13.0,0
22,-12.0,0
23,-11.0,0
24,-11.0,0
25,-11.0,0
26,-10.0,0
27,-9.0,0
28,-9.0,0
29,-9.0,0
30,-8.0,0
31,-7.0,0
32,-6.0,0
33,-5.0,0
34,-4.0,0
35,-2.0,0
36,0.0,0
37,1.0,0
38,2.0,0
39,3.0,0
40,4.0,0
41,7.0,0
42,10.0,0
43,12.0,0
44,13.0,0
45,15.0,0
46,17.0,0
47,21.0,0
48,25.0,0
49,27.0,0
50,29.0,0
51,30.0,0
52,31.0,0
53,31.0,0
54,31.0,0
55,29.0,0
56,27.0,0
57,25.0,0
58,23.0,0
59,21.0,0
60,18.0,0
61,14.0,0
62,9.0,0
63,4.0,0
64,-1.0,0
65,-5.0,0
66,-8.0,0
67,-10.0,0
68,-12.0,0
69,-15.0,0
70,-17.0,0
71,-18.0,0
72,-20.0,0
73,-22.0,0
74,-23.0,0
75,-23.0,0
76,-23.0,0
77,-23.0,0
78,-23.0,0
79,-23.0,0
80,-23.0,0
81,-22.0,0
82,-21.0,0
83,-21.0,0
84,-21.0,0
85,-21.0,0
86,-20.0,0
87,-19.0,0
88,-18.0,0
89,-17.0,0
90,-17.0,0
91,-17.0,0
92,-16.0,0
93,-15.0,0
94,-16.0,0
95,-17.0,0
96,-16.0,0
97,-15.0,0
98,-14.0,0
99,-13.0,0
100,-13.0,0
101,-13.0,0
102,-15.0,0
103,-17.0,0
104,-16.0,0
105,-15.0,0
106,-16.0,0
107,-17.0,0
108,-18.0,0
109,-19.0,0
110,-19.0,0
111,-19.0,0
112,-19.0,0
113,-19.0,0
114,-20.0,0
115,-21.0,0
116,-21.0,0
117,-21.0,0
118,-21.0,0
119,-20.0,0
120,-18.0,0
121,-17.0,0
122,-18.0,0
123,-18.0,0
124,-16.0,0
125,-15.0,0
126,-15.0,0
127,-16.0,0
128,-15.0,0
129,-16.0,0
130,-17.0,0
131,-20.0,0
132,-23.0,0
133,-23.0,0
134,-23.0,0
135,-24.0,0
136,-25.0,0
137,-25.0,0
138,-25.0,0
139,-25.0,0
140,-25.0,0
141,-26.0,0
142,-27.0,0
143,-27.0,0
144,-27.0,0
145,-28.0,0
146,-29.0,0
147,-29.0,0
148,-29.0,0
149,-29.0,0
150,-29.0,0
151,-29.0,0
152,-29.0,0
153,-30.0,0
154,-30.0,0
155,-28.0,0
156,-26.0,0
157,-24.0,0
158,-14.0,0
159,0.0,0
160,18.0,0
161,37.0,0
162,33.0,0
163,23.0,0
164,-37.0,0
165,-102.0,0
166,-137.0,0
167,-170.0,0
168,-138.0,0
169,-105.0,0
170,-75.0,0
171,-47.0,0
172,-34.0,0
173,-23.0,0
174,-19.0,0
175,-15.0,0
176,-15.0,0
177,-15.0,0
178,-15.0,0
179,-15.0,0
180,-15.0,0
181,-15.0,0
182,-14.0,0
183,-13.0,0
184,-13.0,0
185,-13.0,0
186,-13.0,0
187,-13.0,0
188,-13.0,0
189,-12.0,0
190,-10.0,0
191,-9.0,0
192,-10.0,0
193,-11.0,0
194,-10.0,0
195,-9.0,0
196,-9.0,0
197,-9.0,0
198,-8.0,0
199,-7.0,0
200,-7.0,0
201,-7.0,0
202,-6.0,0
203,-5.0,0
204,-4.0,0
205,-3.0,0
206,-2.0,0
207,-1.0,0
208,0.0,0
209,2.0,0
210,5.0,0
211,8.0,0
212,11.0,0
213,13.0,0
214,15.0,0
215,16.0,0
216,17.0,0
217,21.0,0
218,25.0,0
219,27.0,0
220,29.0,0
221,29.0,0
222,29.0,0
223,27.0,0
224,25.0,0
225,26.0,0
226,26.0,0
227,23.0,0
228,21.0,0
229,20.0,0
230,17.0,0
231,12.0,0
232,7.0,0
233,3.0,0
234,0.0,0
235,-2.0,0
236,-4.0,0
237,-6.0,0
238,-8.0,0
239,-10.0,0
240,-12.0,0
241,-14.0,0
242,-15.0,0
243,-16.0,0
244,-17.0,0
245,-16.0,0
246,-15.0,0
247,-16.0,0
248,-17.0,0
249,-18.0,0
250,-19.0,0
251,-19.0,0
252,-17.0,0
253,-17.0,0
254,-16.0,0
255,-15.0,0
256,-15.0,0
257,-15.0,0
258,-14.0,0
259,-13.0,0
260,-12.0,0
261,-11.0,0
262,-10.0,0
263,-9.0,0
264,-9.0,0
265,-9.0,0
266,-9.0,0
267,-9.0,0
268,-8.0,0
269,-7.0,0
270,-7.0,0
271,-7.0,0
272,-7.0,0
273,-7.0,0
274,-7.0,0
275,-7.0,0
276,-8.0,0
277,-9.0,0
278,-9.0,0
279,-9.0,0
280,-9.0,0
281,-9.0,0
282,-9.0,0
283,-9.0,0
284,-9.0,0
285,-9.0,0
286,-9.0,0
287,-9.0,0
288,-9.0,0
289,-9.0,0
290,-8.0,0
291,-5.0,0
292,-2.0,0
293,-1.0,0
294,-1.0,0
295,-2.0,0
296,-3.0,0
297,-3.0,0
298,-3.0,0
299,-4.0,0
300,-5.0,0
301,-8.0,0
302,-11.0,0
303,-11.0,0
304,-11.0,0
305,-12.0,0
306,-13.0,0
307,-13.0,0
308,-13.0,0
309,-14.0,0
310,-15.0,0
311,-16.0,0
312,-17.0,0
313,-17.0,0
314,-17.0,0
315,-18.0,0
316,-19.0,0
317,-19.0,0
318,-19.0,0
319,-18.0,0
320,-17.0,0
321,-18.0,0
322,-19.0,0
323,-18.0,0
324,-17.0,0
325,-16.0,0
326,-13.0,0
327,-10.0,0
328,6.0,0
329,24.0,0
330,42.0,0
331,59.0,0
332,41.0,0
333,18.0,0
334,-46.0,0
335,-111.0,0
336,-134.0,0
337,-155.0,0
338,-119.0,0
339,-85.0,0
340,-58.0,0
341,-34.0,0
342,-22.0,0
343,-13.0,0
344,-10.0,0
345,-7.0,0
346,-8.0,0
347,-9.0,0
348,-9.0,0
349,-9.0,0
350,-9.0,0
351,-9.0,0
352,-9.0,0
353,-9.0,0
354,-7.0,0
355,-5.0,0
356,-6.0,0
357,-7.0,0
358,-6.0,0
359,-5.0,0
360,-5.0,0
361,-5.0,0
362,-4.0,0
363,-3.0,0
364,-2.0,0
365,-1.0,0
366,-1.0,0
367,-1.0,0
368,0.0,0
369,1.0,0
370,1.0,0
371,1.0,0
372,2.0,0
373,3.0,0
374,4.0,0
375,6.0,0
376,5.0,0
377,11.0,0
378,13.0,0
379,15.0,0
380,17.0,0
381,19.0,0
382,21.0,0
383,24.0,0
384,27.0,0
385,30.0,0
386,33.0,0
387,34.0,0
388,35.0,0
389,36.0,0
390,37.0,0
391,38.0,0
392,39.0,0
393,39.0,0
394,38.0,0
395,35.0,0
396,32.0,0
397,29.0,0
398,26.0,0
399,23.0,0
400,19.0,0
401,13.0,0
402,8.0,0
403,3.0,0
404,0.0,0
405,-2.0,0
406,-5.0,0
407,-8.0,0
408,-9.0,0
409,-9.0,0
410,-10.0,0
411,-12.0,0
412,-13.0,0
413,-14.0,0
414,-15.0,0
415,-15.0,0
416,-15.0,0
417,-15.0,0
418,-15.0,0
419,-15.0,0
420,-15.0,0
421,-15.0,0
422,-15.0,0
423,-15.0,0
424,-14.0,0
425,-13.0,0
426,-12.0,0
427,-11.0,0
428,-11.0,0
429,-11.0,0
430,-10.0,0
431,-9.0,0
432,-8.0,0
433,-7.0,0
434,-8.0,0
435,-9.0,0
436,-9.0,0
437,-9.0,0
438,-8.0,0
439,-7.0,0
440,-8.0,0
441,-9.0,0
442,-9.0,0
443,-9.0,0
444,-9.0,0
445,-9.0,0
446,-10.0,0
447,-11.0,0
448,-11.0,0
449,-12.0,0
450,-14.0,0
451,-15.0,0
452,-15.0,0
453,-15.0,0
454,-15.0,0
455,-15.0,0
456,-14.0,0
457,-13.0,0
458,-13.0,0
459,-13.0,0
460,-11.0,0
461,-10.0,0
462,-9.0,0
463,-7.0,0
464,-5.0,0
465,-6.0,0
466,-7.0,0
467,-8.0,0
468,-9.0,0
469,-10.0,0
470,-11.0,0
471,-12.0,0
472,-13.0,0
473,-15.0,0
474,-17.0,0
475,-17.0,0
476,-17.0,0
477,-18.0,0
478,-19.0,0
479,-19.0,0
480,-19.0,0
481,-22.0,0
482,-23.0,0
483,-23.0,0
484,-23.0,0
485,-22.0,0
486,-21.0,0
487,-21.0,0
488,-21.0,0
489,-21.0,0
490,-21.0,0
491,-20.0,0
492,-19.0,0
493,-19.0,0
494,-18.0,0
495,-16.0,0
496,-14.0,0
497,-12.0,0
498,3.0,0
499,20.0,0
500,40.0,0
501,21.0,0
502,53.0,0
503,42.0,0
504,-23.0,0
505,-87.0,0
506,-137.0,0
507,-176.0,0
508,-139.0,0
509,-103.0,0
510,-71.0,0
511,-42.0,0
512,-28.0,0
513,-17.0,0
514,-14.0,0
515,-11.0,0
516,-11.0,0
517,-11.0,0
518,-10.0,0
519,-9.0,0
520,-10.0,0
521,-11.0,0
522,-11.0,0
523,-11.0,0
524,-10.0,0
525,-9.0,0
526,-9.0,0
527,-9.0,0
528,-8.0,0
529,-7.0,0
530,-7.0,0
531,-7.0,0
532,-6.0,0
533,-5.0,0
534,-4.0,0
535,-3.0,0
536,-3.0,0
537,-3.0,0
538,-2.0,0
539,-1.0,0
540,-1.0,0
541,-1.0,0
542,0.0,0
543,3.0,0
544,5.0,0
545,5.0,0
546,5.0,0
547,7.0,0
548,9.0,0
549,11.0,0
550,13.0,0
551,15.0,0
552,17.0,0
553,19.0,0
554,21.0,0
555,23.0,0
556,25.0,0
557,29.0,0
